Generated by http://statistics.gov.scot,2017-01-07T09:13:59+00:00
http://statistics.gov.scot/data/population-estimate-groups,Population Estimates by Age Group
measure type,Count
Reference Period,2014
Gender,All
Measure (cell values): ,Count (People)

,,http://statistics.gov.scot/def/concept/population-group/children,http://statistics.gov.scot/def/concept/population-group/pensionable-age,http://statistics.gov.scot/def/concept/population-group/working-age
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Children,Pensionable Age,Working Age
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,911282,1059104,3377214
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,33566,37426,157998
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,48681,50350,161469
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,19681,27864,69115
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,13594,23036,51030
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,75358,80719,336603
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,9082,10299,31809
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,23928,38870,87142
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,23758,28017,96485
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,21162,25405,75583
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,18386,24624,63720
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,18812,21320,61918
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,18209,19265,54906
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,28278,30731,98631
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,64084,77690,225486
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,96711,91256,411683
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,40136,52612,140352
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,13143,17175,49542
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,16381,17171,52658
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,16599,20770,57381
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,4437,7041,15772
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,23374,31077,81999
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,63536,60330,214084
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,3510,5141,12939
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,24489,35376,89015
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,29973,34750,109507
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,19070,28657,66303
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,4309,4642,14279
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,17833,28705,65972
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,54899,63139,197322
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,15536,18391,57653
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,15703,17328,56699
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,35064,29927,112159
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,62369,85187,223554
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,19070,28657,66303
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,23928,38870,87142
http://statistics.gov.scot/id/statistical-geography/S08000018,Fife,64084,77690,225486
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,52896,59421,188093
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,98846,108546,376848
http://statistics.gov.scot/id/statistical-geography/S08000021,Greater Glasgow and Clyde,192125,204398,746057
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,53730,75648,191382
http://statistics.gov.scot/id/statistical-geography/S08000023,Lanarkshire,118435,123469,411406
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,145615,149137,563338
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,3510,5141,12939
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,4309,4642,14279
http://statistics.gov.scot/id/statistical-geography/S08000027,Tayside,67928,91257,254615
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,4437,7041,15772
